"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L2204","package-info.java","src/test/java/junit/tests/framework/package-info.java","L2187","1","0","1","0","0","0","1","0"
"L2205","Success.java","src/test/java/junit/tests/framework/Success.java","L2187","1","0","9","4","104","0","6","0"
"L2206","SuiteTest.java","src/test/java/junit/tests/framework/SuiteTest.java","L2187","1","0","94","5","104","1","11","0"
"L2207","TestCaseTest.java","src/test/java/junit/tests/framework/TestCaseTest.java","L2187","2","0","170","4","104","0","6","0"
"L2208","TestImplementorTest.java","src/test/java/junit/tests/framework/TestImplementorTest.java","L2187","1","0","43","4","104","0","6","0"
"L2209","TestListenerTest.java","src/test/java/junit/tests/framework/TestListenerTest.java","L2187","1","0","66","7","134","2","12","0"
"L2210","ThreeTestCases.java","src/test/java/junit/tests/framework/ThreeTestCases.java","L2187","1","0","10","5","104","1","9","0"
"L2577","AllTests.java","src/test/java/junit/tests/runner/AllTests.java","L2576","1","0","22","6","104","0","12","0"
"L2578","BaseTestRunnerTest.java","src/test/java/junit/tests/runner/BaseTestRunnerTest.java","L2576","1","0","42","6","134","0","9","0"
"L2579","package-info.java","src/test/java/junit/tests/runner/package-info.java","L2576","1","0","1","0","0","0","1","0"
"L2580","ResultTest.java","src/test/java/junit/tests/runner/ResultTest.java","L2576","2","0","85","6","107","0","13","0"
"L2581","StackFilterTest.java","src/test/java/junit/tests/runner/StackFilterTest.java","L2576","1","0","40","4","104","0","6","0"
"L2582","TextFeedbackTest.java","src/test/java/junit/tests/runner/TextFeedbackTest.java","L2576","2","0","109","4","104","0","6","0"
"L2583","TextRunnerSingleMethodTest.java","src/test/java/junit/tests/runner/TextRunnerSingleMethodTest.java","L2576","1","0","27","4","104","0","6","0"
"L2584","TextRunnerTest.java","src/test/java/junit/tests/runner/TextRunnerTest.java","L2576","3","0","51","4","104","0","6","0"
"L4933","MethodSorterTest.java","src/test/java/org/junit/internal/MethodSorterTest.java","L4932","3","0","141","13","104","0","45","0"
"L6626","DisableOnDebugTest.java","src/test/java/org/junit/rules/DisableOnDebugTest.java","L6625","1","0","125","2","107","0","2","0"
"L6627","StopwatchTest.java","src/test/java/org/junit/rules/StopwatchTest.java","L6625","2","0","175","2","134","0","3","0"
"L7395","FilterFactoriesTest.java","src/test/java/org/junit/runner/FilterFactoriesTest.java","L7394","1","0","107","4","107","0","9","0"
"L7396","FilterOptionIntegrationTest.java","src/test/java/org/junit/runner/FilterOptionIntegrationTest.java","L7394","2","0","160","2","122","0","4","0"
"L7397","JUnitCommandLineParseResultTest.java","src/test/java/org/junit/runner/JUnitCommandLineParseResultTest.java","L7394","1","0","110","4","107","0","6","0"
"L7398","JUnitCoreTest.java","src/test/java/org/junit/runner/JUnitCoreTest.java","L7394","1","0","15","2","122","0","3","0"
"L7399","RunnerSpy.java","src/test/java/org/junit/runner/RunnerSpy.java","L7394","1","0","28","2","107","0","2","0"
"L9824","AnnotationsValidatorTest.java","src/test/java/org/junit/validator/AnnotationsValidatorTest.java","L9823","1","0","80","3","5","0","4","0"
"L9825","AnnotationValidatorFactoryTest.java","src/test/java/org/junit/validator/AnnotationValidatorFactoryTest.java","L9823","1","0","54","2","122","0","2","0"
"L9826","PublicClassValidatorTest.java","src/test/java/org/junit/validator/PublicClassValidatorTest.java","L9823","1","0","31","2","107","0","2","0"
"L10080","ListTest.java","src/test/java/org/junit/samples/ListTest.java","L10079","3","0","74","5","5","0","10","0"
"L10081","package-info.java","src/test/java/org/junit/samples/package-info.java","L10079","1","0","1","0","0","0","1","0"
"L10082","SimpleTest.java","src/test/java/org/junit/samples/SimpleTest.java","L10079","1","0","32","5","104","2","10","0"
"L10167","AllTests.java","src/test/java/org/junit/tests/AllTests.java","L10166","1","0","216","24","107","8","150","0"
"L10168","ObjectContractTest.java","src/test/java/org/junit/tests/ObjectContractTest.java","L10166","3","0","39","4","104","0","8","0"
"L10169","package-info.java","src/test/java/org/junit/tests/package-info.java","L10166","1","0","1","0","0","0","2","0"
"L10170","TestSystem.java","src/test/java/org/junit/tests/TestSystem.java","L10166","1","0","24","10","107","0","15","0"
"L3428","CategoryFilterFactoryTest.java","src/test/java/org/junit/experimental/categories/CategoryFilterFactoryTest.java","L3427","1","0","52","4","107","0","12","0"
"L5002","AnnotatedBuilderTest.java","src/test/java/org/junit/internal/builders/AnnotatedBuilderTest.java","L5001","1","0","87","2","107","0","2","0"
"L5240","StacktracePrintingMatcherTest.java","src/test/java/org/junit/internal/matchers/StacktracePrintingMatcherTest.java","L5239","2","0","31","6","104","0","10","0"
"L5241","ThrowableCauseMatcherTest.java","src/test/java/org/junit/internal/matchers/ThrowableCauseMatcherTest.java","L5239","1","0","13","1","107","0","2","0"
"L7779","ConcurrentRunNotifierTest.java","src/test/java/org/junit/runner/notification/ConcurrentRunNotifierTest.java","L7778","10","0","134","2","25","0","3","0"
"L7780","RunNotifierTest.java","src/test/java/org/junit/runner/notification/RunNotifierTest.java","L7778","1","0","111","12","25","2","15","0"
"L7781","SynchronizedRunListenerTest.java","src/test/java/org/junit/runner/notification/SynchronizedRunListenerTest.java","L7778","7","0","123","4","107","0","6","0"
"L8814","FrameworkFieldTest.java","src/test/java/org/junit/runners/model/FrameworkFieldTest.java","L8813","1","0","48","4","107","0","7","0"
"L8815","FrameworkMethodTest.java","src/test/java/org/junit/runners/model/FrameworkMethodTest.java","L8813","1","0","50","4","107","0","7","0"
"L8816","RunnerBuilderStub.java","src/test/java/org/junit/runners/model/RunnerBuilderStub.java","L8813","1","0","9","2","107","0","2","0"
"L8817","TestClassTest.java","src/test/java/org/junit/runners/model/TestClassTest.java","L8813","1","0","200","4","107","0","9","0"
"L9473","ParameterizedNamesTest.java","src/test/java/org/junit/runners/parameterized/ParameterizedNamesTest.java","L9472","3","0","40","2","107","0","2","0"
"L9474","TestWithParametersTest.java","src/test/java/org/junit/runners/parameterized/TestWithParametersTest.java","L9472","1","0","116","2","107","0","2","0"
"L10108","MoneyTest.java","src/test/java/org/junit/samples/money/MoneyTest.java","L10107","1","0","160","4","104","0","6","0"
"L10109","package-info.java","src/test/java/org/junit/samples/money/package-info.java","L10107","1","0","1","0","0","0","1","0"
"L10460","AssertionTest.java","src/test/java/org/junit/tests/assertion/AssertionTest.java","L10459","31","0","548","14","25","3","54","0"
"L10461","ComparisonFailureTest.java","src/test/java/org/junit/tests/assertion/ComparisonFailureTest.java","L10459","1","0","45","2","122","0","4","0"
"L10462","MultipleFailureExceptionTest.java","src/test/java/org/junit/tests/assertion/MultipleFailureExceptionTest.java","L10459","4","0","61","6","122","0","13","0"
"L10604","JUnit4ClassRunnerTest.java","src/test/java/org/junit/tests/deprecated/JUnit4ClassRunnerTest.java","L10603","1","0","49","6","107","0","12","0"
"L10628","AnnotatedDescriptionTest.java","src/test/java/org/junit/tests/description/AnnotatedDescriptionTest.java","L10627","1","0","78","4","104","0","7","0"
"L10629","SuiteDescriptionTest.java","src/test/java/org/junit/tests/description/SuiteDescriptionTest.java","L10627","1","0","31","4","104","0","7","0"
"L10630","TestDescriptionMethodNameTest.java","src/test/java/org/junit/tests/description/TestDescriptionMethodNameTest.java","L10627","1","0","38","2","107","0","2","0"
"L10631","TestDescriptionTest.java","src/test/java/org/junit/tests/description/TestDescriptionTest.java","L10627","1","0","19","9","104","0","13","0"
"L10703","AssumptionTest.java","src/test/java/org/junit/tests/experimental/AssumptionTest.java","L10702","4","0","219","11","134","0","27","0"
"L10704","ExperimentalTests.java","src/test/java/org/junit/tests/experimental/ExperimentalTests.java","L10702","1","0","34","8","25","0","17","0"
"L10705","MatcherTest.java","src/test/java/org/junit/tests/experimental/MatcherTest.java","L10702","1","0","36","7","107","0","13","0"
"L14486","AllTestsTest.java","src/test/java/org/junit/tests/junit3compatibility/AllTestsTest.java","L14485","1","0","73","5","104","0","12","0"
"L14487","ClassRequestTest.java","src/test/java/org/junit/tests/junit3compatibility/ClassRequestTest.java","L14485","1","0","16","3","104","0","7","0"
"L14488","ForwardCompatibilityPrintingTest.java","src/test/java/org/junit/tests/junit3compatibility/ForwardCompatibilityPrintingTest.java","L14485","2","0","78","3","104","0","5","0"
"L14489","ForwardCompatibilityTest.java","src/test/java/org/junit/tests/junit3compatibility/ForwardCompatibilityTest.java","L14485","1","0","210","6","134","0","12","0"
"L14490","InitializationErrorForwardCompatibilityTest.java","src/test/java/org/junit/tests/junit3compatibility/InitializationErrorForwardCompatibilityTest.java","L14485","1","0","83","5","134","0","9","0"
"L14491","JUnit38ClassRunnerTest.java","src/test/java/org/junit/tests/junit3compatibility/JUnit38ClassRunnerTest.java","L14485","3","0","129","6","122","0","19","0"
"L14492","OldTestClassAdaptingListenerTest.java","src/test/java/org/junit/tests/junit3compatibility/OldTestClassAdaptingListenerTest.java","L14485","1","0","25","3","104","0","7","0"
"L14493","OldTests.java","src/test/java/org/junit/tests/junit3compatibility/OldTests.java","L14485","1","0","10","3","104","0","5","0"
"L14494","SuiteMethodTest.java","src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java","L14485","1","0","110","6","134","0","14","0"
"L14835","ListenerTest.java","src/test/java/org/junit/tests/listening/ListenerTest.java","L14834","1","0","33","3","104","0","5","0"
"L14836","RunnerTest.java","src/test/java/org/junit/tests/listening/RunnerTest.java","L14834","1","0","62","3","104","0","5","0"
"L14837","TestListenerTest.java","src/test/java/org/junit/tests/listening/TestListenerTest.java","L14834","1","0","54","9","104","2","15","0"
"L14838","TextListenerTest.java","src/test/java/org/junit/tests/listening/TextListenerTest.java","L14834","1","0","60","4","104","0","13","0"
"L14839","UserStopTest.java","src/test/java/org/junit/tests/listening/UserStopTest.java","L14834","1","0","27","3","104","0","5","0"
"L14964","FilterableTest.java","src/test/java/org/junit/tests/manipulation/FilterableTest.java","L14963","1","0","51","1","104","0","7","0"
"L14965","FilterTest.java","src/test/java/org/junit/tests/manipulation/FilterTest.java","L14963","1","0","41","3","104","1","7","0"
"L14966","SingleMethodTest.java","src/test/java/org/junit/tests/manipulation/SingleMethodTest.java","L14963","1","0","156","0","0","0","7","0"
"L14967","SortableTest.java","src/test/java/org/junit/tests/manipulation/SortableTest.java","L14963","1","0","166","0","0","0","3","0"
"L16595","BadlyFormedClassesTest.java","src/test/java/org/junit/tests/validation/BadlyFormedClassesTest.java","L16594","1","0","54","3","107","0","8","0"
"L16596","FailedConstructionTest.java","src/test/java/org/junit/tests/validation/FailedConstructionTest.java","L16594","1","0","24","0","0","0","2","0"
"L16597","ValidationTest.java","src/test/java/org/junit/tests/validation/ValidationTest.java","L16594","1","0","33","0","0","0","3","0"
"L10799","CategoriesAndParameterizedTest.java","src/test/java/org/junit/tests/experimental/categories/CategoriesAndParameterizedTest.java","L10798","1","0","102","5","104","2","10","0"
"L10800","CategoryTest.java","src/test/java/org/junit/tests/experimental/categories/CategoryTest.java","L10798","1","0","448","11","104","0","33","0"
"L10801","CategoryValidatorTest.java","src/test/java/org/junit/tests/experimental/categories/CategoryValidatorTest.java","L10798","1","0","70","2","122","0","5","0"
"L10802","JavadocTest.java","src/test/java/org/junit/tests/experimental/categories/JavadocTest.java","L10798","1","0","60","2","104","0","3","0"
"L10803","MultiCategoryTest.java","src/test/java/org/junit/tests/experimental/categories/MultiCategoryTest.java","L10798","1","0","137","2","104","0","3","0"
"L11306","DescriptionTest.java","src/test/java/org/junit/tests/experimental/max/DescriptionTest.java","L11305","1","0","99","11","104","0","20","0"
"L11307","JUnit38SortingTest.java","src/test/java/org/junit/tests/experimental/max/JUnit38SortingTest.java","L11305","2","0","50","4","104","0","12","0"
"L11308","MaxStarterTest.java","src/test/java/org/junit/tests/experimental/max/MaxStarterTest.java","L11305","2","0","248","8","104","0","49","0"
"L11461","ParallelClassTest.java","src/test/java/org/junit/tests/experimental/parallel/ParallelClassTest.java","L11460","1","0","69","6","104","0","25","0"
"L11462","ParallelMethodTest.java","src/test/java/org/junit/tests/experimental/parallel/ParallelMethodTest.java","L11460","1","0","51","6","104","0","23","0"
"L11513","PrintableResultTest.java","src/test/java/org/junit/tests/experimental/results/PrintableResultTest.java","L11512","1","0","42","6","104","0","14","0"
"L11514","ResultMatchersTest.java","src/test/java/org/junit/tests/experimental/results/ResultMatchersTest.java","L11512","1","0","19","7","104","0","16","0"
"L11537","BlockJUnit4ClassRunnerOverrideTest.java","src/test/java/org/junit/tests/experimental/rules/BlockJUnit4ClassRunnerOverrideTest.java","L11536","1","0","78","6","107","1","10","0"
"L11538","ClassRulesTest.java","src/test/java/org/junit/tests/experimental/rules/ClassRulesTest.java","L11536","1","0","198","9","120","0","22","0"
"L11539","EventCollector.java","src/test/java/org/junit/tests/experimental/rules/EventCollector.java","L11536","5","0","157","12","134","2","23","0"
"L11540","ExpectedExceptionTest.java","src/test/java/org/junit/tests/experimental/rules/ExpectedExceptionTest.java","L11536","1","0","306","13","122","3","36","0"
"L11541","ExternalResourceRuleTest.java","src/test/java/org/junit/tests/experimental/rules/ExternalResourceRuleTest.java","L11536","1","0","36","4","104","0","7","0"
"L11542","LoggingTestWatcher.java","src/test/java/org/junit/tests/experimental/rules/LoggingTestWatcher.java","L11536","1","0","30","6","134","2","12","0"
"L11543","MethodRulesTest.java","src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java","L11536","1","0","311","8","107","0","21","0"
"L11544","NameRulesTest.java","src/test/java/org/junit/tests/experimental/rules/NameRulesTest.java","L11536","1","0","41","5","104","0","9","0"
"L11545","RuleChainTest.java","src/test/java/org/junit/tests/experimental/rules/RuleChainTest.java","L11536","1","0","49","6","104","0","9","0"
"L11546","RuleMemberValidatorTest.java","src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java","L11536","1","0","278","3","107","0","5","0"
"L11547","TempFolderRuleTest.java","src/test/java/org/junit/tests/experimental/rules/TempFolderRuleTest.java","L11536","6","0","194","15","104","4","36","0"
"L11548","TemporaryFolderUsageTest.java","src/test/java/org/junit/tests/experimental/rules/TemporaryFolderUsageTest.java","L11536","1","0","171","10","107","0","22","0"
"L11549","TestRuleTest.java","src/test/java/org/junit/tests/experimental/rules/TestRuleTest.java","L11536","1","0","597","10","120","2","35","0"
"L11550","TestWatcherTest.java","src/test/java/org/junit/tests/experimental/rules/TestWatcherTest.java","L11536","1","0","163","10","134","2","25","0"
"L11551","TestWatchmanTest.java","src/test/java/org/junit/tests/experimental/rules/TestWatchmanTest.java","L11536","1","0","60","6","104","4","12","0"
"L11552","TimeoutRuleTest.java","src/test/java/org/junit/tests/experimental/rules/TimeoutRuleTest.java","L11536","3","0","137","7","107","0","31","0"
"L11553","VerifierRuleTest.java","src/test/java/org/junit/tests/experimental/rules/VerifierRuleTest.java","L11536","1","0","129","9","1","2","21","0"
"L13239","AssumingInTheoriesTest.java","src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java","L13238","1","0","31","4","25","1","7","0"
"L13240","ParameterSignatureTest.java","src/test/java/org/junit/tests/experimental/theories/ParameterSignatureTest.java","L13238","1","0","74","8","25","0","18","0"
"L13241","PotentialAssignmentTest.java","src/test/java/org/junit/tests/experimental/theories/PotentialAssignmentTest.java","L13238","1","0","44","3","25","0","4","0"
"L13242","TestedOnSupplierTest.java","src/test/java/org/junit/tests/experimental/theories/TestedOnSupplierTest.java","L13238","1","0","24","11","25","2","15","0"
"L13243","TheoryTestUtils.java","src/test/java/org/junit/tests/experimental/theories/TheoryTestUtils.java","L13238","1","0","26","3","25","3","9","0"
"L14414","ErrorReportingRunnerTest.java","src/test/java/org/junit/tests/internal/runners/ErrorReportingRunnerTest.java","L14413","1","0","9","2","107","2","2","0"
"L15164","BlockJUnit4ClassRunnerTest.java","src/test/java/org/junit/tests/running/classes/BlockJUnit4ClassRunnerTest.java","L15163","2","0","28","2","14","2","5","0"
"L15165","ClassLevelMethodsWithIgnoredTestsTest.java","src/test/java/org/junit/tests/running/classes/ClassLevelMethodsWithIgnoredTestsTest.java","L15163","3","0","133","1","122","0","3","0"
"L15166","EnclosedTest.java","src/test/java/org/junit/tests/running/classes/EnclosedTest.java","L15163","1","0","46","3","104","0","8","0"
"L15167","IgnoreClassTest.java","src/test/java/org/junit/tests/running/classes/IgnoreClassTest.java","L15163","1","0","26","0","0","0","5","0"
"L15168","ParameterizedTestTest.java","src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java","L15163","1","0","410","11","1","2","35","0"
"L15169","ParentRunnerFilteringTest.java","src/test/java/org/junit/tests/running/classes/ParentRunnerFilteringTest.java","L15163","6","0","146","1","107","1","4","0"
"L15170","ParentRunnerTest.java","src/test/java/org/junit/tests/running/classes/ParentRunnerTest.java","L15163","1","0","225","11","107","3","34","0"
"L15171","RunWithTest.java","src/test/java/org/junit/tests/running/classes/RunWithTest.java","L15163","1","0","69","0","0","0","2","0"
"L15172","SuiteTest.java","src/test/java/org/junit/tests/running/classes/SuiteTest.java","L15163","1","0","156","1","4","0","7","0"
"L15173","UseSuiteAsASuperclassTest.java","src/test/java/org/junit/tests/running/classes/UseSuiteAsASuperclassTest.java","L15163","1","0","37","0","0","0","4","0"
"L15774","CommandLineTest.java","src/test/java/org/junit/tests/running/core/CommandLineTest.java","L15773","1","0","65","6","8","0","9","0"
"L15775","JUnitCoreReturnsCorrectExitCodeTest.java","src/test/java/org/junit/tests/running/core/JUnitCoreReturnsCorrectExitCodeTest.java","L15773","1","0","38","6","8","0","9","0"
"L15776","MainRunner.java","src/test/java/org/junit/tests/running/core/MainRunner.java","L15773","35","0","236","8","134","0","11","0"
"L15777","SystemExitTest.java","src/test/java/org/junit/tests/running/core/SystemExitTest.java","L15773","2","0","23","0","0","0","2","0"
"L16025","AnnotationTest.java","src/test/java/org/junit/tests/running/methods/AnnotationTest.java","L16024","1","0","537","3","9","0","15","0"
"L16026","ExpectedTest.java","src/test/java/org/junit/tests/running/methods/ExpectedTest.java","L16024","1","0","59","0","0","0","2","0"
"L16027","InheritedTestTest.java","src/test/java/org/junit/tests/running/methods/InheritedTestTest.java","L16024","1","0","32","0","0","0","2","0"
"L16028","ParameterizedTestMethodTest.java","src/test/java/org/junit/tests/running/methods/ParameterizedTestMethodTest.java","L16024","2","0","149","0","0","0","7","0"
"L16029","TestMethodTest.java","src/test/java/org/junit/tests/running/methods/TestMethodTest.java","L16024","2","0","205","0","0","0","13","0"
"L16030","TimeoutTest.java","src/test/java/org/junit/tests/running/methods/TimeoutTest.java","L16024","13","0","284","6","120","0","25","0"
"L16600","Sub.java","src/test/java/org/junit/tests/validation/anotherpackage/Sub.java","L16599","1","0","3","0","0","0","1","0"
"L16601","Super.java","src/test/java/org/junit/tests/validation/anotherpackage/Super.java","L16599","1","0","7","0","0","0","1","0"
"L13260","Correspondent.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Correspondent.java","L13259","1","0","4","4","104","0","6","0"
"L13261","Guesser.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Guesser.java","L13259","8","0","103","5","104","0","11","0"
"L13262","GuesserQueue.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/GuesserQueue.java","L13259","3","0","47","4","104","0","8","0"
"L13263","MethodCall.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/MethodCall.java","L13259","4","0","45","4","104","0","6","0"
"L13264","ReguessableValue.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/ReguessableValue.java","L13259","1","0","11","4","104","0","7","0"
"L13265","StringableObject.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StringableObject.java","L13259","3","0","23","4","104","0","6","0"
"L13266","Stub.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Stub.java","L13259","1","0","6","0","0","0","1","0"
"L13267","StubbedTheories.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StubbedTheories.java","L13259","4","0","52","10","134","3","26","0"
"L13268","StubbedTheoriesTest.java","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StubbedTheoriesTest.java","L13259","1","0","14","4","104","0","6","0"
"L13487","AllMembersSupplierTest.java","src/test/java/org/junit/tests/experimental/theories/internal/AllMembersSupplierTest.java","L13486","2","0","167","3","122","3","13","0"
"L13488","ParameterizedAssertionErrorTest.java","src/test/java/org/junit/tests/experimental/theories/internal/ParameterizedAssertionErrorTest.java","L13486","1","0","79","6","134","0","7","0"
"L13489","SpecificDataPointsSupplierTest.java","src/test/java/org/junit/tests/experimental/theories/internal/SpecificDataPointsSupplierTest.java","L13486","2","0","115","3","25","3","7","0"
"L13692","FailingDataPointMethods.java","src/test/java/org/junit/tests/experimental/theories/runner/FailingDataPointMethods.java","L13691","1","0","109","3","25","2","4","0"
"L13693","SuccessfulWithDataPointFields.java","src/test/java/org/junit/tests/experimental/theories/runner/SuccessfulWithDataPointFields.java","L13691","1","0","165","4","104","0","9","0"
"L13694","TheoriesPerformanceTest.java","src/test/java/org/junit/tests/experimental/theories/runner/TheoriesPerformanceTest.java","L13691","1","0","26","4","104","0","8","0"
"L13695","TypeMatchingBetweenMultiDataPointsMethod.java","src/test/java/org/junit/tests/experimental/theories/runner/TypeMatchingBetweenMultiDataPointsMethod.java","L13691","1","0","46","5","104","2","9","0"
"L13696","UnsuccessfulWithDataPointFields.java","src/test/java/org/junit/tests/experimental/theories/runner/UnsuccessfulWithDataPointFields.java","L13691","1","0","204","9","25","2","35","0"
"L13697","WhenNoParametersMatch.java","src/test/java/org/junit/tests/experimental/theories/runner/WhenNoParametersMatch.java","L13691","1","0","41","6","104","0","21","0"
"L13698","WithAutoGeneratedDataPoints.java","src/test/java/org/junit/tests/experimental/theories/runner/WithAutoGeneratedDataPoints.java","L13691","1","0","51","3","25","2","5","0"
"L13699","WithDataPointMethod.java","src/test/java/org/junit/tests/experimental/theories/runner/WithDataPointMethod.java","L13691","1","0","94","8","25","3","31","0"
"L13700","WithExtendedParameterSources.java","src/test/java/org/junit/tests/experimental/theories/runner/WithExtendedParameterSources.java","L13691","1","0","149","7","25","3","10","0"
"L13701","WithNamedDataPoints.java","src/test/java/org/junit/tests/experimental/theories/runner/WithNamedDataPoints.java","L13691","2","0","55","3","25","3","7","0"
"L13702","WithOnlyTestAnnotations.java","src/test/java/org/junit/tests/experimental/theories/runner/WithOnlyTestAnnotations.java","L13691","3","0","69","6","104","0","16","0"
"L13703","WithParameterSupplier.java","src/test/java/org/junit/tests/experimental/theories/runner/WithParameterSupplier.java","L13691","2","0","120","3","25","3","8","0"
"L13704","WithUnresolvedGenericTypeVariablesOnTheoryParms.java","src/test/java/org/junit/tests/experimental/theories/runner/WithUnresolvedGenericTypeVariablesOnTheoryParms.java","L13691","1","0","151","6","104","0","11","0"
"L14420","FailOnTimeoutTest.java","src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java","L14419","12","0","164","8","134","0","28","0"
